,q,p,sx,sy,sz,sxy,ea,eps_v,gamxy,gams,eps_1,eps_2,eps_3,eps_xx,eps_yy,phase,s1,s2,s3,suratio,su,rumax,pmin,zmax,Cs,M,Gamma,pcs,xi,e,Mcurrent,K,G,alphastatic,Kc,K0,sigmav0,ru,ruextreme,gmax/2extreme,BCI,g/2max,Md,Mb,D,alphaxx,alphayy,alphaxy,rulimit,lpr,txyratio,txyratioextreme
0,69.1100833171709,54.3959242431279,25.6225986447001,99.9064559805075,37.658718104176,-1.56347525099211,0.45024200322633395,-0.45021980945971796,-6.32233300390207e-05,-3.65020076917264e-05,0.00450242003226334,1.52030589398268e-15,1.52030589398268e-15,7.51140604014091e-12,0.00450219808708577,0,99.9393483616971,37.658718104176,25.5897062635104,0.499999999934214,49.9999999934214,0,11.7942495330551,14.9999999980264,0.999999999868428,1.05983853326204,1.17282319053478,94.3539962644411,-0.0244556944785128,0.900004148364861,1.18580007537499,59576.1953046614,1.17282319053478,-2.95474425760285e-15,0,0,99.7911147939992,-0.00396438036061818,0.0,2.92246331771569e-05,0.999999999868428,2.92246331771569e-05,0.937771856661436,1.19208538516573,-0.113405056282858,-0.587161362093919,0.587161362093919,-0.0229619834541865,0.622584044851405,-0.00679817749097905,0.015667479483212,0.015667479483212
1,68.934051441334,54.4851614562509,25.951875683231,99.783111559137,37.7204971263847,-3.22714900927999,0.45031295686843303,-0.450220785866834,-0.00012885509834845,-7.43945291718979e-05,0.00450312956868433,-1.10224157318592e-16,-1.10224157318592e-16,4.86849561193598e-11,0.00450220780998338,0,99.9239011436222,37.7204971263847,25.8110860987458,0.499999999934214,49.9999999934214,0,11.7942495330551,14.9999999980264,0.999999999868428,1.05983853326204,1.17282319053478,94.3539962644411,-0.0243573822049042,0.900004088760216,1.17884683593498,60952.3632732304,1.17282319053478,-2.95474425760285e-15,0,0,99.7911147939992,-0.00575897842569873,0.0,6.20298596832312e-05,0.999999999868428,6.20298596832312e-05,0.938314556952045,1.19147694095194,-0.120950296505273,-0.582430899066587,0.582430899066587,-0.0498217567735924,0.622584044851405,-0.00944433454299882,0.0323390439110169,0.0323390439110169
2,68.9730031042117,54.5326925841743,26.1616382564456,99.6830367910838,37.7534027049936,-4.82192373212314,0.45041791740672804,-0.45022259284393595,-0.000187578819160806,-0.000108298687102388,0.00450417917406728,-3.40610189211902e-16,-3.40610189211902e-16,-3.53863354836664e-11,0.00450222596382569,0,99.9979354164579,37.7534027049936,25.8467396310713,0.499999999934214,49.9999999934214,0,11.7942495330551,14.9999999980264,0.999999999868428,1.05983853326204,1.17282319053478,94.3539962644411,-0.0243050940302818,0.900004029155572,1.17839205249541,62010.3007730912,1.17282319053478,-2.95474425760285e-15,0,0,99.7911147939992,-0.00670751137570702,0.0,9.13885887591999e-05,0.999999999868428,9.13885887591999e-05,0.938556372995867,1.19121038898054,-0.134745553118143,-0.579492151660968,0.579492151660968,-0.0750154927274233,0.622584044851405,-0.0108537599430109,0.0483201742108665,0.0483201742108665
3,69.0892618887753,54.5712121255918,26.3883762324899,99.5451888907112,37.7800712535741,-6.45539188300075,0.450564022432521,-0.450225069040895,-0.000247143984258454,-0.000142688654173188,0.00450564022432521,-1.14238759686205e-16,-1.14238759686205e-16,-4.44659037428351e-10,0.00450225113506799,0,100.110448158047,37.7800712535741,25.8231169651542,0.499999999934214,49.9999999934214,0,11.7942495330551,14.9999999980264,0.999999999868428,1.05983853326204,1.17282319053478,94.3539962644411,-0.0242627654192711,0.900004029155572,1.17970108970379,62067.3046793337,1.17282319053478,-2.95474425760285e-15,0,0,99.7911147939992,-0.00742147955945836,0.0,0.000121169723554404,0.999999999868428,0.000121169723554404,0.938759028788076,1.19098269923753,-0.133999273163331,-0.576165437622557,0.576165437622557,-0.100960753844806,0.622584044851405,-0.0119960159047556,0.0646890476260903,0.0646890476260903
4,69.2009591341086,54.6160278248453,26.685691829985,99.3512954581196,37.8110961864314,-8.02376460923482,0.450745591729116,-0.450227851457434,-0.000305518698944688,-0.000176391316612457,0.00450745591729116,-4.76556370119172e-18,-4.76556370119172e-18,-6.47854387931481e-10,0.00450227916242873,0,100.226735824579,37.8110961864314,25.8102514635259,0.499999999934214,49.9999999934214,0,11.7942495330551,14.9999999980264,0.999999999868428,1.05983853326204,1.17282319053478,94.3539962644411,-0.024213567372951,0.900003969550927,1.18085336669644,61775.3749918721,1.17282319053478,-2.95474425760285e-15,0,0,99.7911147939992,-0.00821373145919257,0.0,0.000150356092470473,0.999999999868428,0.000150356092470473,0.938989460344748,1.19072377666066,-0.130232170207055,-0.571866035386184,0.571866035386184,-0.125552728755644,0.622584044851405,-0.0133249349874608,0.0804056003583975,0.0804056003583975
5,69.3141267141934,54.6708850788664,27.0748882258078,99.0886916983885,37.8490753124029,-9.63098049037102,0.450978294646009,-0.450232704014021,-0.00036674685168489,-0.00021174141546518,0.00450978294646009,-1.13817258414177e-16,-1.13817258414177e-16,2.78257327479245e-10,0.00450232676188288,0,100.354471081824,37.8490753124029,25.8091088423722,0.499999999934214,49.9999999934214,0,11.7942495330551,14.9999999980264,0.999999999868428,1.05983853326204,1.17282319053478,94.3539962644411,-0.0241534039346387,0.900003909946282,1.18161582931231,61518.4492106559,1.17282319053478,-2.95474425760285e-15,0,0,99.7911147939992,-0.00919655244676468,0.0,0.00018096953860897,0.999999999868428,0.00018096953860897,0.939272343988814,1.19041037543847,-0.135362178069425,-0.566213071271785,0.566213071271785,-0.150677666048252,0.622584044851405,-0.0149516100044248,0.0965114012233591,0.0965114012233591
6,69.4122668838823,54.7348219481614,27.5399112665181,98.7712173331959,37.8933372447702,-11.1722640976511,0.451249313413246,-0.450237642328748,-0.000427338129626078,-0.000246723818293978,0.00451249313413246,-6.17956681756211e-17,-6.17956681756211e-17,2.02846529790091e-11,0.00450237640300283,0,100.482420932299,37.8933372447702,25.8287076674154,0.499999999934214,49.9999999934214,0,11.7942495330551,14.9999999980264,0.999999999868428,1.05983853326204,1.17282319053478,94.3539962644411,-0.0240833666143917,0.900003790736992,1.18204796298687,61288.0156169362,1.17282319053478,-2.95474425760285e-15,0,0,99.7911147939992,-0.0103298807503103,0.0,0.000211264734361464,0.999999999868428,0.000211264734361464,0.939600884790773,1.19004142268736,-0.131000056845595,-0.559418499396153,0.559418499396153,-0.174756184197321,0.622584044851405,-0.016847558317352,0.111956506952814,0.111956506952814
7,69.5025435128914,54.8123976317449,28.108236309168,98.381912218501,37.9470443675658,-12.7386693937707,0.45157838574033304,-0.45024271288496703,-0.000491171123082693,-0.000283577831349301,0.00451578385740333,-4.59724199286236e-17,-4.59724199286236e-17,-2.09266176608661e-10,0.00450242733811585,0,100.619812783004,37.9470443675658,25.8703357446651,0.499999999934214,49.9999999934214,0,11.7942495330551,14.9999999980264,0.999999999868428,1.05983853326204,1.17282319053478,94.3539962644411,-0.0239985026387587,0.900003671527703,1.1819018123979,61144.3046794551,1.17282319053478,-2.95474425760285e-15,0,0,99.7911147939992,-0.0116961263104786,0.0,0.000243180867951033,0.999999999868428,0.000243180867951033,0.939999461050334,1.18959641440952,-0.128881856782168,-0.551183998512227,0.551183998512227,-0.199010342333359,0.622584044851405,-0.0191479660545428,0.127653345448865,0.127653345448865
8,69.5796665633067,54.8994636463412,28.7469100914326,97.9441604485391,38.0073203990521,-14.2373952846868,0.451952962580384,-0.45025017063683803,-0.000554807382273,-0.000320318264778719,0.00451952962580384,-4.12611927430452e-18,-4.12611927430452e-18,-1.17503608338555e-09,0.00450250288140446,0,100.75901263762,38.0073203990521,25.9320579023521,0.499999999934214,49.9999999934214,0,11.7942495330551,14.9999999980264,0.999999999868428,1.05983853326204,1.17282319053478,94.3539962644411,-0.0239033978400967,0.900003552318413,1.1812468765612,61078.2187419638,1.17282319053478,-2.95474425760285e-15,0,0,99.7911147939992,-0.0132358465326299,0.0,0.000274999008943466,0.999999999868428,0.000274999008943466,0.94044661509538,1.18909764274211,-0.127368375642231,-0.541937768388016,0.541937768388016,-0.222125425905566,0.622584044851405,-0.0217297431052943,0.142671987395588,0.142671987395588
9,69.6233506050184,55.0039456613015,29.5088806113518,97.4233016839592,38.0796546885933,-15.7444524744299,0.452401688286797,-0.450258027365461,-0.00062284561042381,-0.000359600181988902,0.00452401688286797,2.29870602894194e-17,2.29870602894194e-17,1.13850468782078e-10,0.00450258015980414,0,100.895757605245,38.0796546885933,26.0364246900655,0.499999999934214,49.9999999934214,0,11.7942495330551,14.9999999980264,0.999999999868428,1.05983853326204,1.17282319053478,94.3539962644411,-0.0237894374845914,0.900003433109124,1.17957270129896,61094.1484294617,1.17282319053478,-2.95474425760285e-15,0,0,99.7911147939992,-0.0150540946031671,0.0,0.000309018010698579,0.999999999868428,0.000309018010698579,0.940981566782169,1.18849992736438,-0.125264659507483,-0.530957221915004,0.530957221915004,-0.245197102395222,0.622584044851405,-0.0248279329356667,0.157774090746148,0.157774090746148
