,q,p,sx,sy,sz,sxy,ea,eps_v,gamxy,gams,eps_1,eps_2,eps_3,phase,s1,s2,s3,sigmav_0,ru,ru_max,alpha_inxx,alpha_inyy,alpha_inxy,alpha_xx,alpha_yy,alpha_xy,Md,Mb,xi_r,hp
0,74.9925299719267,50.0008137955046,25.0483646359866,99.95351408597,25.0005626645573,-1.78093969798498,0.450091175902091,-0.450001815471458,-0.000126840829225646,-7.32315874915517e-05,0.00450091175902091,8.78778028726967e-16,8.78778028726967e-16,0,99.9958336765908,25.0060450453512,25.000562664572,-99.9999999868428,0.000464873446556111,0.000464873446556111,0.600000023762915,-0.600000023762915,1.19844859923777e-15,0.595197677533994,-0.595197677533994,0.0255411304499877,1.03152179704446,1.43034410457865,-0.54479980461582,8.07294327281136e-07
1,74.9164298168169,50.0024636520718,25.2322483029546,99.7734374868726,25.0017051663882,-3.59835433912617,0.45039253647111605,-0.450007103319629,-0.000263512189732969,-0.000152138840240023,0.00450392536471116,-1.62840562224442e-16,-1.62840562224442e-16,0,99.9467392625203,25.0589465273055,25.0017051663895,-99.9999999868428,0.00226564425945275,0.00226564425945275,0.600000023762915,-0.600000023762915,1.19844859923777e-15,0.592513024729018,-0.592513024729018,0.0543120987641878,1.03152191625375,1.43034350853221,-0.544798910546148,8.88606882537215e-06
2,74.771923856685,50.0052305791548,25.5430622067222,99.4690093863267,25.0036201444153,-5.34244537283224,0.45092319354728805,-0.450014802121228,-0.000404763018773961,-0.000233690061105532,0.00450923193547288,5.33333016120412e-17,5.33333016120412e-17,0,99.853099123674,25.1589724693743,25.003620144416,-99.9999999868428,0.00530993426148765,0.00530993426148765,0.600000023762915,-0.600000023762915,1.19844859923777e-15,0.587827384394552,-0.587827384394552,0.0819276273142786,1.03152203546304,1.43034231643931,-0.544797360825384,3.31506307658895e-05
3,74.5650093733097,50.0091215703652,25.9859466518544,99.0351028312081,25.0063152280331,-7.10024595167201,0.45176235404126097,-0.450028671752688,-0.000559714616624681,-0.000323151439331241,0.00451762354041261,-3.62147428081375e-17,-3.62147428081375e-17,0,99.7188342597442,25.3022152233184,25.0063152280331,-99.9999999868428,0.00964895076922779,0.00964895076922779,0.600000023762915,-0.600000023762915,1.19844859923777e-15,0.581052958888851,-0.581052958888851,0.109784282729486,1.03152227388161,1.43034064750926,-0.544795036244238,8.3490704117068e-05
4,74.3224091014558,50.0138734115918,26.5262699092296,98.5057449211215,25.0096054044243,-8.78078746680124,0.45292316554686696,-0.45004416341956394,-0.000722225511432952,-0.000416977195190642,0.00452923165546867,-4.98505893283727e-18,-4.98505893283727e-18,0,99.5614313469384,25.4705834834125,25.0096054044245,-99.9999999868428,0.0149425463731298,0.0149425463731298,0.600000023762915,-0.600000023762915,1.19844859923777e-15,0.572715818806635,-0.572715818806635,0.136443093401123,1.03152263150948,1.43033862095133,-0.544792115616645,0.000162437092491474
5,74.0513252459449,50.0194123520207,27.1744747126111,97.8703231682754,25.0134391751757,-10.4602336869782,0.45453000050000797,-0.45006235804318495,-0.000901270246456346,-0.000520348784904416,0.00454530000500008,4.33623750467802e-18,4.33623750467802e-18,0,99.3855544755131,25.6592434053732,25.0134391751759,-99.9999999868428,0.021296763789832,0.021296763789832,0.600000023762915,-0.600000023762915,1.19844859923777e-15,0.56265163414228,-0.56265163414228,0.163111254551408,1.03152286992806,1.43033623676554,-0.544788777756538,0.00027419987596689
6,73.7806558851846,50.0254141423845,27.8903350793382,97.1683120599693,25.0175952878461,-12.0675439818717,0.45659596642823397,-0.450083613681751,-0.00109060532729968,-0.0006296615230351,0.00456595966428234,5.85200685790197e-18,5.85200685790197e-18,0,99.210178813045,25.8484683262626,25.017595287846,-99.9999999868428,0.0283168777786191,0.0283168777786191,0.600000023762915,-0.600000023762915,1.19844859923777e-15,0.551485538410106,-0.551485538410106,0.188655912851307,1.03152334676522,1.43033361416117,-0.544785082268562,0.000410840060740671
7,73.516087371701,50.0316937698658,28.6879463158056,96.3851928584122,25.0219421353797,-13.6635761243009,0.45928297911758,-0.450106137297113,-0.00129843804621846,-0.000749653889015933,0.0045928297911758,6.50377694205646e-18,6.50377694205646e-18,0,99.038934029254,26.0342051449636,25.0219421353798,-99.9999999868428,0.0361480489325646,0.0361480489325646,0.600000023762915,-0.600000023762915,1.19844859923777e-15,0.53899818651737,-0.53899818651737,0.214039757819624,1.03152370439309,1.43033087234751,-0.544781327175942,0.000571282638627377
8,73.2802143520884,50.037953052295,29.5294246634732,95.5581588619389,25.0262756314729,-15.194083211807,0.46259390589932503,-0.45013030149828404,-0.00151859643772884,-0.000876762497918941,0.00462593905899325,1.7343500368633e-18,1.7343500368633e-18,0,98.8867222941069,26.2008612313053,25.0262756314728,-99.9999999868428,0.0444183833838672,0.0444183833838672,0.600000023762915,-0.600000023762915,1.19844859923777e-15,0.525786518981419,-0.525786518981419,0.238394677607642,1.03152406202096,1.43032824974314,-0.544777572083321,0.000742217991403438
9,73.0424472537944,50.0464471115387,30.6160583455812,94.4911270017278,25.0321559873071,-17.0031623817961,0.467654050251279,-0.450166572452101,-0.00180866770925529,-0.00104423537930544,0.00467654050251279,-2.38440156152479e-18,-2.38440156152479e-18,0,98.7352680071515,26.3719173401575,25.032155987307,-99.9999999868428,0.0550887137578962,0.0550887137578962,0.600000023762915,-0.600000023762915,1.19844859923777e-15,0.508694112233943,-0.508694112233943,0.267193287575853,1.03152453885812,1.43032503109233,-0.544773161339609,0.00095367664458721
